Format,Metric,Year,Actual_Value,Mode
CD Single,Value (Adjusted),2018,0.157981482,Digital
CD Single,Value (Adjusted),2019,0.181678878,Digital
Cassette,Value (Adjusted),1973,437.611081081,Analog
Cassette,Value (Adjusted),1974,452.19655983800004,Analog
Cassette,Value (Adjusted),1975,469.49649814099996,Analog
Cassette,Value (Adjusted),1976,654.6436713530001,Analog
Cassette,Value (Adjusted),1977,1053.003089109,Analog
Cassette,Value (Adjusted),1978,1763.7196104289999,Analog
Cassette,Value (Adjusted),1979,2044.551710744,Analog
Cassette,Value (Adjusted),1980,2187.356614078,Analog
Cassette,Value (Adjusted),1981,2989.1337689770007,Analog
Cassette,Value (Adjusted),1982,3667.9493937820002,Analog
Cassette,Value (Adjusted),1983,4648.285756024,Analog
Cassette,Value (Adjusted),1984,5865.839483156999,Analog
Cassette,Value (Adjusted),1985,5729.710552974,Analog
Cassette,Value (Adjusted),1986,5830.425834854002,Analog
Cassette,Value (Adjusted),1987,6660.8100607390015,Analog
Cassette,Value (Adjusted),1988,7315.507275571,Analog
Cassette,Value (Adjusted),1989,6898.20315,Analog
Cassette,Value (Adjusted),1990,6792.2216281559995,Analog
Cassette,Value (Adjusted),1991,5668.002035242,Analog
Cassette,Value (Adjusted),1992,5678.5738353530005,Analog
Cassette,Value (Adjusted),1993,5158.786716955,Analog
Cassette,Value (Adjusted),1994,5134.531004049,Analog
Cassette,Value (Adjusted),1995,3864.379692913,Analog
Cassette,Value (Adjusted),1996,3104.54609369,Analog
Cassette,Value (Adjusted),1997,2425.476099065,Analog
Cassette,Value (Adjusted),1998,2227.039106135,Analog
Cassette,Value (Adjusted),1999,1629.0844609839999,Analog
Cassette,Value (Adjusted),2000,929.3918815330001,Analog
Cassette,Value (Adjusted),2001,524.594883117,Analog
Cassette,Value (Adjusted),2002,298.148074486,Analog
Cassette,Value (Adjusted),2003,150.1984875,Analog
Cassette,Value (Adjusted),2004,32.07554738,Analog
Cassette,Value (Adjusted),2005,17.14852381,Analog
Cassette,Value (Adjusted),2006,4.69211756,Analog
Cassette,Value (Adjusted),2007,3.699811867,Analog
Cassette,Value (Adjusted),2008,1.068685991,Analog
Cassette Single,Value (Adjusted),1987,32.182175176,Analog
Cassette Single,Value (Adjusted),1988,123.830482671,Analog
Cassette Single,Value (Adjusted),1989,401.21655,Analog
Cassette Single,Value (Adjusted),1990,504.467791125,Analog
Cassette Single,Value (Adjusted),1991,432.477039648,Analog
Cassette Single,Value (Adjusted),1992,544.47834355,Analog
Cassette Single,Value (Adjusted),1993,528.121899654,Analog
Cassette Single,Value (Adjusted),1994,474.224759109,Analog
Cassette Single,Value (Adjusted),1995,396.40255315,Analog
Cassette Single,Value (Adjusted),1996,308.450414914,Analog
Cassette Single,Value (Adjusted),1997,212.64928037400003,Analog
Cassette Single,Value (Adjusted),1998,148.061477301,Analog
Cassette Single,Value (Adjusted),1999,73.658679472,Analog
Cassette Single,Value (Adjusted),2000,6.829397212999999,Analog
Cassette Single,Value (Adjusted),2001,-7.650943535,Analog
Cassette Single,Value (Adjusted),2002,-2.273769872,Analog
DVD Audio,Value (Adjusted),2001,8.661445511,Digital
DVD Audio,Value (Adjusted),2002,12.079402446,Digital
DVD Audio,Value (Adjusted),2003,11.115521739,Digital
DVD Audio,Value (Adjusted),2004,8.797091052999999,Digital
DVD Audio,Value (Adjusted),2005,14.661333333,Digital
DVD Audio,Value (Adjusted),2006,3.043535714,Digital
DVD Audio,Value (Adjusted),2007,3.453157742,Digital
DVD Audio,Value (Adjusted),2008,1.424914655,Digital
DVD Audio,Value (Adjusted),2009,1.906669712,Digital
DVD Audio,Value (Adjusted),2010,1.05519362,Digital
DVD Audio,Value (Adjusted),2011,0.34096844,Digital
DVD Audio,Value (Adjusted),2012,0.20389289,Digital
DVD Audio,Value (Adjusted),2013,-0.544116778,Digital
DVD Audio,Value (Adjusted),2014,2.310456232,Digital
DVD Audio,Value (Adjusted),2015,5.842187676,Digital
DVD Audio,Value (Adjusted),2016,3.020431045,Digital
DVD Audio,Value (Adjusted),2017,2.718901189,Digital
DVD Audio,Value (Adjusted),2018,3.377493968,Digital
DVD Audio,Value (Adjusted),2019,1.067303184,Digital
Download Album,Value (Adjusted),2004,61.579637373999994,Digital
Download Album,Value (Adjusted),2005,177.637761905,Digital
Download Album,Value (Adjusted),2006,349.879793155,Digital
Download Album,Value (Adjusted),2007,613.428807525,Digital
Download Album,Value (Adjusted),2008,754.37356702,Digital
Download Album,Value (Adjusted),2009,886.9589166439999,Digital
Download Album,Value (Adjusted),2010,1022.834348975,Digital
Download Album,Value (Adjusted),2011,1217.030019694,Digital
Download Album,Value (Adjusted),2012,1341.5909826060001,Digital
Download Album,Value (Adjusted),2013,1352.2029527999996,Digital
Download Album,Value (Adjusted),2014,1207.24757771,Digital
Download Album,Value (Adjusted),2015,1148.145080643,Digital
Download Album,Value (Adjusted),2016,925.232200992,Digital
Download Album,Value (Adjusted),2017,697.237618181,Digital
Download Album,Value (Adjusted),2018,508.704388424,Digital
Download Album,Value (Adjusted),2019,394.53300615800003,Digital
Download Music Video,Value (Adjusted),2005,4.84347619,Digital
Download Music Video,Value (Adjusted),2006,24.982355655,Digital
Download Music Video,Value (Adjusted),2007,34.778231548,Digital
Download Music Video,Value (Adjusted),2008,49.040812715,Digital
Download Music Video,Value (Adjusted),2009,48.739244513,Digital
Download Music Video,Value (Adjusted),2010,42.911207213000004,Digital
Download Music Video,Value (Adjusted),2011,36.824591556,Digital
Download Music Video,Value (Adjusted),2012,23.208206935,Digital
Download Music Video,Value (Adjusted),2013,18.372074985999998,Digital
Download Music Video,Value (Adjusted),2014,14.662197203,Digital
Download Music Video,Value (Adjusted),2015,6.918875516,Digital
Download Music Video,Value (Adjusted),2016,4.547792467,Digital
Download Music Video,Value (Adjusted),2017,2.9055331360000003,Digital
Download Music Video,Value (Adjusted),2018,2.2610511680000003,Digital
Download Music Video,Value (Adjusted),2019,1.858910402,Digital
Download Single,Value (Adjusted),2004,186.769010058,Digital
Download Single,Value (Adjusted),2005,475.577,Digital
Download Single,Value (Adjusted),2006,736.282014881,Digital
Download Single,Value (Adjusted),2007,1000.182474674,Digital
Download Single,Value (Adjusted),2008,1225.664089214,Digital
Download Single,Value (Adjusted),2009,1396.6355640289999,Digital
Download Single,Value (Adjusted),2010,1566.8452819460001,Digital
Download Single,Value (Adjusted),2011,1730.3011785420001,Digital
Download Single,Value (Adjusted),2012,1831.258645554,Digital
Download Single,Value (Adjusted),2013,1726.7391560439999,Digital
Download Single,Value (Adjusted),2014,1463.6553870960001,Digital
Download Single,Value (Adjusted),2015,1278.449595315,Digital
Download Single,Value (Adjusted),2016,958.87910313,Digital
Download Single,Value (Adjusted),2017,707.692711218,Digital
Download Single,Value (Adjusted),2018,499.316974193,Digital
Download Single,Value (Adjusted),2019,414.804250982,Digital
Kiosk,Value (Adjusted),2005,1.309047619,Digital
Kiosk,Value (Adjusted),2006,2.409465774,Digital
Kiosk,Value (Adjusted),2007,3.206503618,Digital
Kiosk,Value (Adjusted),2008,3.0873150860000003,Digital
Kiosk,Value (Adjusted),2009,7.507511991,Digital
Kiosk,Value (Adjusted),2010,7.503599075,Digital
Kiosk,Value (Adjusted),2011,3.0687159630000003,Digital
Kiosk,Value (Adjusted),2012,4.068866328,Digital
Kiosk,Value (Adjusted),2013,6.786152156,Digital
Kiosk,Value (Adjusted),2014,2.789051821,Digital
Kiosk,Value (Adjusted),2015,3.99147413,Digital
Kiosk,Value (Adjusted),2016,3.13587911,Digital
Kiosk,Value (Adjusted),2017,2.351668038,Digital
Kiosk,Value (Adjusted),2018,2.000651969,Digital
Kiosk,Value (Adjusted),2019,1.586470587,Digital
LP/EP,Value (Adjusted),1973,7174.518513514,Analog
LP/EP,Value (Adjusted),1974,7031.863935091,Analog
LP/EP,Value (Adjusted),1975,7056.703438662,Analog
LP/EP,Value (Adjusted),1976,7472.013901582,Analog
LP/EP,Value (Adjusted),1977,9260.605292079,Analog
LP/EP,Value (Adjusted),1978,9698.105185583001,Analog
LP/EP,Value (Adjusted),1979,7243.615,Analog
LP/EP,Value (Adjusted),1980,6825.79368932,Analog
LP/EP,Value (Adjusted),1981,6586.050570957,Analog
LP/EP,Value (Adjusted),1982,5100.15845285,Analog
LP/EP,Value (Adjusted),1983,4335.388283133,Analog
LP/EP,Value (Adjusted),1984,3810.987118383,Analog
LP/EP,Value (Adjusted),1985,3042.460859665,Analog
LP/EP,Value (Adjusted),1986,2292.9820346720003,Analog
LP/EP,Value (Adjusted),1987,1784.872946303,Analog
LP/EP,Value (Adjusted),1988,1150.132336433,Analog
LP/EP,Value (Adjusted),1989,454.203525,Analog
LP/EP,Value (Adjusted),1990,169.199162204,Analog
LP/EP,Value (Adjusted),1991,55.185872247,Analog
LP/EP,Value (Adjusted),1992,24.59992516,Analog
LP/EP,Value (Adjusted),1993,18.754077509000002,Analog
LP/EP,Value (Adjusted),1994,30.706441295999998,Analog
LP/EP,Value (Adjusted),1995,42.106238189,Analog
LP/EP,Value (Adjusted),1996,59.962891013000004,Analog
LP/EP,Value (Adjusted),1997,53.042854206,Analog
LP/EP,Value (Adjusted),1998,53.32722699399999,Analog
LP/EP,Value (Adjusted),1999,48.79887515,Analog
LP/EP,Value (Adjusted),2000,41.124848432,Analog
LP/EP,Value (Adjusted),2001,39.5539345,Analog
LP/EP,Value (Adjusted),2002,29.132676486999998,Analog
LP/EP,Value (Adjusted),2003,30.150852717,Analog
LP/EP,Value (Adjusted),2004,26.120593436,Analog
LP/EP,Value (Adjusted),2005,18.58847619,Analog
LP/EP,Value (Adjusted),2006,19.909796131,Analog
LP/EP,Value (Adjusted),2007,28.24189725,Analog
LP/EP,Value (Adjusted),2008,67.327217456,Analog
LP/EP,Value (Adjusted),2009,76.028454765,Analog
LP/EP,Value (Adjusted),2010,104.22968090799999,Analog
LP/EP,Value (Adjusted),2011,135.70543925200002,Analog
LP/EP,Value (Adjusted),2012,178.96798223599998,Analog
LP/EP,Value (Adjusted),2013,231.27407019400002,Analog
LP/EP,Value (Adjusted),2014,263.336179145,Analog
LP/EP,Value (Adjusted),2015,359.598162864,Analog
LP/EP,Value (Adjusted),2016,378.607270991,Analog
LP/EP,Value (Adjusted),2017,405.212077272,Analog
LP/EP,Value (Adjusted),2018,426.82018664599997,Analog
LP/EP,Value (Adjusted),2019,497.588920842,Analog
Limited Tier Paid Subscription,Value (Adjusted),2016,280.536691286,Streaming
Limited Tier Paid Subscription,Value (Adjusted),2017,617.032317981,Streaming
Limited Tier Paid Subscription,Value (Adjusted),2018,760.591366006,Streaming
Limited Tier Paid Subscription,Value (Adjusted),2019,829.498739675,Streaming
Music Video (Physical),Value (Adjusted),1989,237.92595,Digital
Music Video (Physical),Value (Adjusted),1990,337.029082632,Digital
Music Video (Physical),Value (Adjusted),1991,221.682024229,Digital
Music Video (Physical),Value (Adjusted),1992,286.816905203,Digital
Music Video (Physical),Value (Adjusted),1993,377.38157854699995,Digital
Music Video (Physical),Value (Adjusted),1994,398.666212551,Digital
Music Video (Physical),Value (Adjusted),1995,369.561923228,Digital
Music Video (Physical),Value (Adjusted),1996,384.70756979,Digital
Music Video (Physical),Value (Adjusted),1997,515.933347664,Digital
Music Video (Physical),Value (Adjusted),1998,796.771509202,Digital
Music Video (Physical),Value (Adjusted),1999,578.067178271,Digital
Music Video (Physical),Value (Adjusted),2000,418.52327700300003,Digital
Music Video (Physical),Value (Adjusted),2001,475.224643704,Digital
Music Video (Physical),Value (Adjusted),2002,409.847019455,Digital
Music Video (Physical),Value (Adjusted),2003,555.637142935,Digital
Music Video (Physical),Value (Adjusted),2004,821.7836442560001,Digital
Music Video (Physical),Value (Adjusted),2005,788.30847619,Digital
Music Video (Physical),Value (Adjusted),2006,572.057900298,Digital
Music Video (Physical),Value (Adjusted),2007,598.0129247469999,Digital
Music Video (Physical),Value (Adjusted),2008,269.902584265,Digital
Music Video (Physical),Value (Adjusted),2009,249.77373227,Digital
Music Video (Physical),Value (Adjusted),2010,208.22487434400003,Digital
Music Video (Physical),Value (Adjusted),2011,171.620781634,Digital
Music Video (Physical),Value (Adjusted),2012,129.85137719,Digital
Music Video (Physical),Value (Adjusted),2013,116.63967237600001,Digital
Music Video (Physical),Value (Adjusted),2014,96.87525105600001,Digital
Music Video (Physical),Value (Adjusted),2015,75.973614493,Digital
Music Video (Physical),Value (Adjusted),2016,60.634642175,Digital
Music Video (Physical),Value (Adjusted),2017,40.279585351,Digital
Music Video (Physical),Value (Adjusted),2018,28.060663877,Digital
Music Video (Physical),Value (Adjusted),2019,27.705246783000003,Digital
On-Demand Streaming (Ad-Supported),Value (Adjusted),2011,129.340695033,Streaming
On-Demand Streaming (Ad-Supported),Value (Adjusted),2012,190.33961564700002,Streaming
On-Demand Streaming (Ad-Supported),Value (Adjusted),2013,242.396097837,Streaming
On-Demand Streaming (Ad-Supported),Value (Adjusted),2014,306.475448007,Streaming
On-Demand Streaming (Ad-Supported),Value (Adjusted),2015,401.24526414699994,Streaming
On-Demand Streaming (Ad-Supported),Value (Adjusted),2016,521.288175026,Streaming
On-Demand Streaming (Ad-Supported),Value (Adjusted),2017,686.918081261,Streaming
On-Demand Streaming (Ad-Supported),Value (Adjusted),2018,773.2949166880002,Streaming
On-Demand Streaming (Ad-Supported),Value (Adjusted),2019,908.149330523,Streaming
Other Ad-Supported Streaming,Value (Adjusted),2016,86.559596683,Streaming
Other Ad-Supported Streaming,Value (Adjusted),2017,273.04031902400004,Streaming
Other Ad-Supported Streaming,Value (Adjusted),2018,255.96744387099997,Streaming
Other Ad-Supported Streaming,Value (Adjusted),2019,251.064710118,Streaming
Other Digital,Value (Adjusted),2016,18.259409536,Digital
Other Digital,Value (Adjusted),2017,17.610951915999998,Digital
Other Digital,Value (Adjusted),2018,20.199063312,Digital
Other Digital,Value (Adjusted),2019,21.517175006,Digital
Other Tapes,Value (Adjusted),1973,89.82543243200001,Analog
Other Tapes,Value (Adjusted),1974,68.970346856,Analog
Other Tapes,Value (Adjusted),1975,48.470286245,Analog
Other Tapes,Value (Adjusted),1976,22.914775044000002,Analog
Paid Subscription,Value (Adjusted),2005,195.309904762,Streaming
Paid Subscription,Value (Adjusted),2006,261.490443452,Streaming
Paid Subscription,Value (Adjusted),2007,288.585325615,Streaming
Paid Subscription,Value (Adjusted),2008,262.896753877,Streaming
Paid Subscription,Value (Adjusted),2009,245.722059132,Streaming
Paid Subscription,Value (Adjusted),2010,249.02569431700002,Streaming
Paid Subscription,Value (Adjusted),2011,281.639931715,Streaming
Paid Subscription,Value (Adjusted),2012,445.276306223,Streaming
Paid Subscription,Value (Adjusted),2013,706.011657475,Streaming
Paid Subscription,Value (Adjusted),2014,831.834027499,Streaming
Paid Subscription,Value (Adjusted),2015,1247.676868955,Streaming
Paid Subscription,Value (Adjusted),2016,2390.487544774,Streaming
Paid Subscription,Value (Adjusted),2017,3651.028326883,Streaming
Paid Subscription,Value (Adjusted),2018,4740.333580635,Streaming
Paid Subscription,Value (Adjusted),2019,5934.397625188,Streaming
Ringtones & Ringbacks,Value (Adjusted),2005,551.89447619,Digital
Ringtones & Ringbacks,Value (Adjusted),2006,981.286639881,Digital
Ringtones & Ringbacks,Value (Adjusted),2007,1302.08712301,Digital
Ringtones & Ringbacks,Value (Adjusted),2008,1160.236757964,Digital
Ringtones & Ringbacks,Value (Adjusted),2009,837.5046709889999,Digital
Ringtones & Ringbacks,Value (Adjusted),2010,525.2519352830001,Digital
Ringtones & Ringbacks,Value (Adjusted),2011,313.9182774,Digital
Ringtones & Ringbacks,Value (Adjusted),2012,162.565728249,Digital
Ringtones & Ringbacks,Value (Adjusted),2013,107.548976379,Digital
Ringtones & Ringbacks,Value (Adjusted),2014,71.61127201,Digital
Ringtones & Ringbacks,Value (Adjusted),2015,58.874581006999996,Digital
Ringtones & Ringbacks,Value (Adjusted),2016,59.998070883000004,Digital
Ringtones & Ringbacks,Value (Adjusted),2017,37.040368455,Digital
Ringtones & Ringbacks,Value (Adjusted),2018,25.41009037,Digital
Ringtones & Ringbacks,Value (Adjusted),2019,21.426736902000002,Digital
SACD,Value (Adjusted),2003,36.542277717,Digital
SACD,Value (Adjusted),2004,22.466417152,Digital
SACD,Value (Adjusted),2005,13.09047619,Digital
SACD,Value (Adjusted),2006,6.974769345,Digital
SACD,Value (Adjusted),2007,4.43977424,Digital
SACD,Value (Adjusted),2008,3.681029526,Digital
SACD,Value (Adjusted),2009,2.860004568,Digital
SACD,Value (Adjusted),2010,1.993143504,Digital
SACD,Value (Adjusted),2011,1.7048422019999998,Digital
SACD,Value (Adjusted),2012,1.494897613,Digital
SACD,Value (Adjusted),2013,1.073719014,Digital
SACD,Value (Adjusted),2014,0.82446336,Digital
SACD,Value (Adjusted),2015,1.125529098,Digital
SACD,Value (Adjusted),2016,1.28555661,Digital
SACD,Value (Adjusted),2017,0.8871424729999999,Digital
SACD,Value (Adjusted),2018,0.8752772670000001,Digital
SACD,Value (Adjusted),2019,0.433302292,Digital
SoundExchange Distributions,Value (Adjusted),2004,9.338450502999999,Digital
SoundExchange Distributions,Value (Adjusted),2005,26.704571429,Digital
SoundExchange Distributions,Value (Adjusted),2006,41.594988095,Digital
SoundExchange Distributions,Value (Adjusted),2007,44.644396527,Digital
SoundExchange Distributions,Value (Adjusted),2008,118.74288793,Digital
SoundExchange Distributions,Value (Adjusted),2009,185.30446263299999,Digital
SoundExchange Distributions,Value (Adjusted),2010,292.17138900099997,Digital
SoundExchange Distributions,Value (Adjusted),2011,331.875948591,Digital
SoundExchange Distributions,Value (Adjusted),2012,514.445211983,Digital
SoundExchange Distributions,Value (Adjusted),2013,647.930273827,Digital
SoundExchange Distributions,Value (Adjusted),2014,835.213587287,Digital
SoundExchange Distributions,Value (Adjusted),2015,865.719793095,Digital
SoundExchange Distributions,Value (Adjusted),2016,941.5359647839999,Digital
SoundExchange Distributions,Value (Adjusted),2017,680.027594648,Digital
SoundExchange Distributions,Value (Adjusted),2018,970.0645127380001,Digital
SoundExchange Distributions,Value (Adjusted),2019,908.2,Digital
Synchronization,Value (Adjusted),2009,239.76371628200002,Digital
Synchronization,Value (Adjusted),2010,221.238928991,Digital
Synchronization,Value (Adjusted),2011,223.33432841799998,Digital
Synchronization,Value (Adjusted),2012,212.233985813,Digital
Synchronization,Value (Adjusted),2013,208.162343515,Digital
Synchronization,Value (Adjusted),2014,204.875818427,Digital
Synchronization,Value (Adjusted),2015,218.894529344,Digital
Synchronization,Value (Adjusted),2016,228.847859543,Digital
Synchronization,Value (Adjusted),2017,242.063251407,Digital
Synchronization,Value (Adjusted),2018,290.686928901,Digital
Synchronization,Value (Adjusted),2019,276.262360199,Digital
Vinyl Single,Value (Adjusted),1973,1094.027702703,Analog
Vinyl Single,Value (Adjusted),1974,1006.033630832,Analog
Vinyl Single,Value (Adjusted),1975,1005.045641264,Analog
Vinyl Single,Value (Adjusted),1976,1101.257130053,Analog
Vinyl Single,Value (Adjusted),1977,1034.018658416,Analog
Vinyl Single,Value (Adjusted),1978,1020.6674401839999,Analog
Vinyl Single,Value (Adjusted),1979,1245.183404959,Analog
Vinyl Single,Value (Adjusted),1980,775.6583737860001,Analog
Vinyl Single,Value (Adjusted),1981,721.1271155119998,Analog
Vinyl Single,Value (Adjusted),1982,749.750580311,Analog
Vinyl Single,Value (Adjusted),1983,691.2492981930002,Analog
Vinyl Single,Value (Adjusted),1984,734.9831174210001,Analog
Vinyl Single,Value (Adjusted),1985,667.654433086,Analog
Vinyl Single,Value (Adjusted),1986,532.074468066,Analog
Vinyl Single,Value (Adjusted),1987,457.52700792300004,Analog
Vinyl Single,Value (Adjusted),1988,389.860716822,Analog
Vinyl Single,Value (Adjusted),1989,239.9877,Analog
Vinyl Single,Value (Adjusted),1990,184.652033665,Analog
Vinyl Single,Value (Adjusted),1991,119.944803965,Analog
Vinyl Single,Value (Adjusted),1992,120.995187455,Analog
Vinyl Single,Value (Adjusted),1993,90.58573287200001,Analog
Vinyl Single,Value (Adjusted),1994,81.423821862,Analog
Vinyl Single,Value (Adjusted),1995,78.341088583,Analog
Vinyl Single,Value (Adjusted),1996,77.397753346,Analog
Vinyl Single,Value (Adjusted),1997,56.70647476600001,Analog
Vinyl Single,Value (Adjusted),1998,40.309109815999996,Analog
Vinyl Single,Value (Adjusted),1999,42.814107443000005,Analog
Vinyl Single,Value (Adjusted),2000,39.046336237,Analog
Vinyl Single,Value (Adjusted),2001,45.328231508,Analog
Vinyl Single,Value (Adjusted),2002,35.385543635,Analog
Vinyl Single,Value (Adjusted),2003,29.872964674000002,Analog
Vinyl Single,Value (Adjusted),2004,26.93263261,Analog
Vinyl Single,Value (Adjusted),2005,17.279428571,Analog
Vinyl Single,Value (Adjusted),2006,12.554584820999999,Analog
Vinyl Single,Value (Adjusted),2007,4.933082488999999,Analog
Vinyl Single,Value (Adjusted),2008,3.44354375,Analog
Vinyl Single,Value (Adjusted),2009,2.979171425,Analog
Vinyl Single,Value (Adjusted),2010,2.696605918,Analog
Vinyl Single,Value (Adjusted),2011,5.228182752,Analog
Vinyl Single,Value (Adjusted),2012,5.281477044,Analog
Vinyl Single,Value (Adjusted),2013,3.269213385,Analog
Vinyl Single,Value (Adjusted),2014,5.938887283,Analog
Vinyl Single,Value (Adjusted),2015,6.205390252999999,Analog
Vinyl Single,Value (Adjusted),2016,5.198931395,Analog
Vinyl Single,Value (Adjusted),2017,6.33967756,Analog
Vinyl Single,Value (Adjusted),2018,5.3861967470000005,Analog
Vinyl Single,Value (Adjusted),2019,6.795945687000001,Analog
